word_count =       10440
yaa! in = 0, out = 0, w_ct =           0, err = 01
yaa! in = 0, out = 0, w_ct =           1, err = 01
yaa! in = 0, out = 0, w_ct =           2, err = 01
yaa! in = 0, out = 0, w_ct =           3, err = 01
yaa! in = 0, out = 0, w_ct =           4, err = 01
yaa! in = 0, out = 0, w_ct =           5, err = 01
yaa! in = 0, out = 0, w_ct =           6, err = 01
yaa! in = 0, out = 0, w_ct =           7, err = 01
yaa! in = 0, out = 0, w_ct =           8, err = 01
yaa! in = 0, out = 0, w_ct =           9, err = 01
yaa! in = 0, out = 0, w_ct =          10, err = 01
yaa! in = 1, out = 1, w_ct =          11, err = 01
yaa! in = 0, out = 0, w_ct =          12, err = 01
yaa! in = 0, out = 0, w_ct =          13, err = 01
yaa! in = 1, out = 1, w_ct =          14, err = 01
yaa! in = 1, out = 1, w_ct =          15, err = 01
yaa! in = 0, out = 0, w_ct =          16, err = 01
yaa! in = 0, out = 0, w_ct =          17, err = 01
yaa! in = 0, out = 0, w_ct =          18, err = 01
yaa! in = 1, out = 1, w_ct =          19, err = 01
yaa! in = 1, out = 1, w_ct =          20, err = 01
yaa! in = 1, out = 1, w_ct =          21, err = 01
yaa! in = 0, out = 0, w_ct =          22, err = 01
yaa! in = 0, out = 0, w_ct =          23, err = 01
yaa! in = 0, out = 0, w_ct =          24, err = 01
yaa! in = 0, out = 0, w_ct =          25, err = 01
yaa! in = 1, out = 1, w_ct =          26, err = 01
yaa! in = 1, out = 1, w_ct =          27, err = 01
yaa! in = 1, out = 1, w_ct =          28, err = 01
yaa! in = 1, out = 1, w_ct =          29, err = 01
yaa! in = 0, out = 0, w_ct =          30, err = 01
yaa! in = 0, out = 0, w_ct =          31, err = 01
yaa! in = 0, out = 0, w_ct =          32, err = 01
yaa! in = 0, out = 0, w_ct =          33, err = 01
yaa! in = 0, out = 0, w_ct =          34, err = 01
yaa! in = 1, out = 1, w_ct =          35, err = 01
yaa! in = 1, out = 1, w_ct =          36, err = 01
yaa! in = 1, out = 1, w_ct =          37, err = 01
yaa! in = 1, out = 1, w_ct =          38, err = 01
yaa! in = 1, out = 1, w_ct =          39, err = 01
yaa! in = 0, out = 0, w_ct =          40, err = 01
yaa! in = 1, out = 1, w_ct =          41, err = 01
yaa! in = 0, out = 0, w_ct =          42, err = 01
yaa! in = 1, out = 1, w_ct =          43, err = 01
yaa! in = 0, out = 0, w_ct =          44, err = 01
yaa! in = 1, out = 1, w_ct =          45, err = 01
yaa! in = 0, out = 0, w_ct =          46, err = 01
yaa! in = 1, out = 1, w_ct =          47, err = 01
yaa! in = 0, out = 0, w_ct =          48, err = 01
yaa! in = 1, out = 1, w_ct =          49, err = 01
yaa! in = 0, out = 0, w_ct =          50, err = 01
yaa! in = 0, out = 0, w_ct =          51, err = 01
yaa! in = 1, out = 1, w_ct =          52, err = 01
yaa! in = 1, out = 1, w_ct =          53, err = 01
